id,name,email,feedback_type,rating,comments,sentiment
1,AZLINA BINTI MAT ZAIN,azlina.zain@medac.gov.my,Recommendation,4,asasasasa,
2,AZLINA BINTI MAT ZAIN,azlina.zain@medac.gov.my,Recommendation,5,test,
3,hasan bin abu,hasan@yahoo.com,Prediction,3,test by hasan,
4,hahahahahhahahahaha,hasan@yahoo.com,Prediction,2,test by hhahahahahahaha,
5,hahahahahhahahahaha,hasan@yahoo.com,Prediction,2,test by hhahahahahahaha,
6,awakkkkkk,awakk@yahoo.com,Recommendation,5,test awakkk,
7,awakkkkkk,awakk@yahoo.com,Recommendation,5,aaaaaa,
8,awakkkkkk,awakk@yahoo.com,Recommendation,3,iiii,
9,AZLINA BINTI MAT ZAIN,azlina.zain@medac.gov.my,Recommendation,2,aaaaaaaa,
10,AZLINA BINTI MAT ZAIN,azlina.zain@medac.gov.my,Recommendation,3,testtttt,
11,AZLINA BINTI MAT ZAIN,azlina.zain@medac.gov.my,Recommendation,2,tetstststststs,
12,AZLINA BINTI MAT ZAIN,azlina.zain@medac.gov.my,Recommendation,2,test,
13,Jackie Walker,cynthiamarshall@example.net,Profile Analytics,3,"Average service, nothing special.",
14,William Middleton,christophersimon@example.net,Prediction,2,The predictions were way off.,
15,Tiffany Martinez,christine03@example.net,Profile Analytics,3,"Pretty good, but there's room for improvement.",
16,Lisa Munoz,jonathanmadden@example.org,Prediction,3,"Great tool, very useful.",
17,Jeffrey Gonzalez,bmarsh@example.org,Profile Analytics,3,"Great tool, very useful.",
18,Karen Wyatt,sharon26@example.org,Profile Analytics,1,I'm impressed with the accuracy.,
19,Gail White,joseph75@example.org,Profile Analytics,5,Very user-friendly and effective.,
20,Christina Gonzales,mmartin@example.net,Profile Analytics,1,"This is terrible, very disappointed.",
21,Randy Rocha,qsmith@example.net,Recommendation,2,"Amazing predictions, very accurate!",
22,Rhonda Bradley,kleinnicholas@example.com,Recommendation,2,Very user-friendly and effective.,
23,Kelly Chen,mary86@example.net,Recommendation,3,Highly recommended!,
24,Karen Holder DDS,ydavis@example.org,Prediction,1,"Pretty good, but there's room for improvement.",
25,Christine Waller,hjones@example.com,Prediction,1,"Amazing predictions, very accurate!",
26,Victoria Johnson,alexander90@example.com,Recommendation,1,I'm not very satisfied with this.,
27,Dana Cox,ymiller@example.com,Recommendation,4,I expected more from this service.,
28,Crystal King,eric65@example.net,Prediction,5,"Great tool, very useful.",
29,Mary Roberts,kimberly93@example.net,Recommendation,3,I'm not very satisfied with this.,
30,Valerie Maldonado,holly22@example.com,Prediction,4,"It's okay, not bad.",
31,Courtney Donaldson,younganthony@example.net,Prediction,3,The user interface could be better.,
32,Jasmine Johnson,brian71@example.net,Prediction,3,"Great tool, very useful.",
33,Dennis Smith,michelle20@example.org,Profile Analytics,3,"It's okay, not bad.",
34,Crystal Taylor,cdunlap@example.org,Recommendation,1,Highly recommended!,
35,Stephen Hanson,john66@example.com,Recommendation,1,This service is excellent!,
36,Kathleen Smith,kelly92@example.org,Prediction,2,"This is terrible, very disappointed.",
37,Richard Lane,destinyturner@example.com,Prediction,2,Not happy with the service.,
38,Micheal Thomas,joel35@example.net,Prediction,4,"Pretty good, but there's room for improvement.",
39,Darrell Martin DDS,henrythomas@example.com,Profile Analytics,3,"Good insights, helped me a lot.",
40,Joseph Jackson,bowmanjessica@example.net,Profile Analytics,4,This service is excellent!,
41,Michael Diaz,cynthia55@example.com,Prediction,4,Very user-friendly and effective.,
42,Christine Herrera,kjohnson@example.net,Profile Analytics,1,The user interface could be better.,
43,Erin Jones,mortoncarl@example.org,Profile Analytics,5,Highly recommended!,
44,Sandra Scott,julie60@example.com,Profile Analytics,2,Spot on! Really happy with this.,
45,Nathan Baldwin,amanda34@example.net,Recommendation,4,Not happy with the service.,
46,Erica Smith,kevin66@example.net,Profile Analytics,4,Spot on! Really happy with this.,
47,Billy Mendoza,gabrielherrera@example.com,Profile Analytics,2,"Average service, nothing special.",
48,Erica Barron,ksullivan@example.com,Profile Analytics,2,The user interface could be better.,
49,Yvonne Parker,brojas@example.org,Prediction,2,The results were surprising and insightful.,
50,Lori Norris,mistymichael@example.com,Profile Analytics,2,Very user-friendly and effective.,
51,Daniel Avery,lindaobrien@example.org,Profile Analytics,1,Would not recommend.,
52,Shawn Watson,darlenewright@example.net,Recommendation,3,Very user-friendly and effective.,
53,Samuel Perez,hross@example.net,Profile Analytics,2,Would not recommend.,
54,Ashley Turner,fevans@example.net,Recommendation,5,This service is excellent!,
55,James Pierce,marquezmatthew@example.net,Prediction,5,"This is terrible, very disappointed.",
56,Kimberly Johnson,tmartinez@example.com,Prediction,1,"Great tool, very useful.",
57,Jason Reed,robert65@example.org,Prediction,3,This service is excellent!,
58,Joel Spencer,ljordan@example.org,Profile Analytics,4,I'm not very satisfied with this.,
59,Julie Krause,hhughes@example.org,Prediction,5,"Pretty good, but there's room for improvement.",
60,Edward Roth,stevensmith@example.net,Profile Analytics,4,I expected more from this service.,
61,Denise Dawson,cbell@example.org,Prediction,3,Would not recommend.,
62,John Hubbard,jacobjones@example.org,Profile Analytics,3,The results were surprising and insightful.,
63,Alexa Stanley,scott23@example.org,Recommendation,5,"Could be better, wasn't very helpful.",
64,Robyn Davis,obanks@example.com,Recommendation,2,The results were surprising and insightful.,
65,Russell Valencia,crystalswanson@example.org,Prediction,1,I'm not very satisfied with this.,
66,Jason Chavez,zacharywhite@example.org,Profile Analytics,4,The predictions were way off.,
67,Sean Mahoney,sherrycooper@example.org,Prediction,2,"Could be better, wasn't very helpful.",
68,Whitney Bradley,christopher93@example.net,Recommendation,3,"Good insights, helped me a lot.",
69,Brittany Scott,williamslindsay@example.net,Profile Analytics,1,Would not recommend.,
70,Robert Smith,ymoore@example.org,Recommendation,5,"Good insights, helped me a lot.",
71,Randall Yang,mquinn@example.net,Recommendation,1,"Could be better, wasn't very helpful.",
72,Brittany Roberts,mcintyrekaitlyn@example.org,Recommendation,4,Spot on! Really happy with this.,
73,Tina Brewer,alexbishop@example.com,Profile Analytics,5,The results were surprising and insightful.,
74,Brittney Phillips,changbrent@example.org,Prediction,1,Not happy with the service.,
75,Jose Miller,mitchellrenee@example.org,Profile Analytics,5,The user interface could be better.,
76,Jordan Lee,phamjoshua@example.net,Profile Analytics,2,The predictions were way off.,
77,Thomas Miller,lucasmichelle@example.org,Profile Analytics,1,"Average service, nothing special.",
78,Shannon Foley,travis06@example.com,Recommendation,2,I expected more from this service.,
79,Douglas Brooks,ustanley@example.net,Recommendation,5,Highly recommended!,
80,Charles Mcdaniel,joseph62@example.org,Recommendation,2,I'm not very satisfied with this.,
81,Robert Bradley,harrellrenee@example.net,Prediction,5,The user interface could be better.,
82,Tamara Lyons,dawn70@example.net,Recommendation,1,Spot on! Really happy with this.,
83,Seth Hobbs,taylorregina@example.com,Profile Analytics,2,"Pretty good, but there's room for improvement.",
84,April Hicks,robert40@example.com,Prediction,5,Would not recommend.,
85,Teresa Cisneros,jonscott@example.org,Recommendation,1,Very user-friendly and effective.,
86,Joseph Le,xbarry@example.com,Prediction,1,The predictions were way off.,
87,Charles Gardner,roseronald@example.org,Recommendation,3,The user interface could be better.,
88,Mario Baker,mkemp@example.org,Prediction,1,"Average service, nothing special.",
89,Dennis Maldonado,paul02@example.org,Profile Analytics,1,The user interface could be better.,
90,Isabella Williams,robertrojas@example.org,Recommendation,1,"Great tool, very useful.",
91,Elizabeth Lopez,eanderson@example.com,Profile Analytics,4,Spot on! Really happy with this.,
92,Levi Long,robbinsamy@example.com,Prediction,4,Not happy with the service.,
93,Brendan Bradshaw,russellmichele@example.com,Recommendation,2,Not happy with the service.,
94,Stephen Rodriguez,clarkjennifer@example.net,Prediction,4,"This is terrible, very disappointed.",
95,Taylor Patterson,prattlance@example.net,Prediction,1,"Amazing predictions, very accurate!",
96,David Anderson,dwright@example.net,Prediction,4,"Pretty good, but there's room for improvement.",
97,Mark Madden,mccoyrose@example.com,Recommendation,4,The user interface could be better.,
98,Mrs. Lindsay Clark MD,nmiller@example.com,Prediction,3,Would not recommend.,
99,Amy Schneider,ohughes@example.com,Prediction,5,The user interface could be better.,
100,Matthew Tucker,xmitchell@example.net,Prediction,1,The predictions were way off.,
101,Rebecca Martin,newtoncynthia@example.net,Recommendation,5,"Average service, nothing special.",
102,Mario Wong,lisa32@example.com,Prediction,5,I'm not very satisfied with this.,
103,Ashley Franklin,julia52@example.com,Prediction,3,Spot on! Really happy with this.,
104,Barbara Byrd,troycarpenter@example.com,Profile Analytics,1,"It's okay, not bad.",
105,Robyn Reid,millerjeffrey@example.net,Prediction,1,"Amazing predictions, very accurate!",
106,Daniel Frost,jerrycisneros@example.com,Profile Analytics,4,I expected more from this service.,
107,Sarah Doyle,sierra12@example.org,Prediction,2,Highly recommended!,
108,Rebecca Howard,vkim@example.net,Prediction,2,The user interface could be better.,
109,Pamela Williams,allenpotter@example.net,Prediction,1,I'm impressed with the accuracy.,
110,Maria Stevens,calderonrichard@example.org,Profile Analytics,2,"Average service, nothing special.",
111,Robert Flores,robert31@example.net,Recommendation,1,The results were surprising and insightful.,
112,Diana Dodson,pgreen@example.net,Profile Analytics,2,This service is excellent!,
113,Kristi Gomez,gsandoval@example.org,Profile Analytics,3,I expected more from this service.,
114,Daniel Paul,mmccann@example.org,Recommendation,1,Not happy with the service.,
115,Susan Hayden,jwalker@example.com,Prediction,3,"Average service, nothing special.",
116,John Delgado,fmarshall@example.org,Recommendation,5,I expected more from this service.,
117,Virginia Smith,steven32@example.net,Prediction,4,I expected more from this service.,
118,Gregory Rodriguez,patricia80@example.net,Profile Analytics,1,"It's okay, not bad.",
119,Laurie Frye,lawrence47@example.com,Recommendation,3,The user interface could be better.,
120,Christopher Vasquez,alexanderayers@example.com,Prediction,5,The user interface could be better.,
121,Jessica Rodriguez,larry74@example.org,Profile Analytics,3,"Average service, nothing special.",
122,Jennifer Cummings,melissa50@example.org,Recommendation,3,Would not recommend.,
123,Jon Patel,singhrichard@example.org,Profile Analytics,4,"Good insights, helped me a lot.",
124,Katherine Hernandez,schroederjamie@example.net,Prediction,4,I'm impressed with the accuracy.,
125,Taylor Taylor,wpetersen@example.net,Prediction,3,The results were surprising and insightful.,
126,Margaret Herrera,qpatrick@example.com,Profile Analytics,4,Would not recommend.,
127,Joseph Crane,nathanmendez@example.net,Profile Analytics,5,The user interface could be better.,
128,Sarah Campbell,dillonjenna@example.com,Prediction,4,I'm not very satisfied with this.,
129,Shelia Gillespie,crawforddouglas@example.com,Recommendation,2,I'm not very satisfied with this.,
130,Dawn Barker,patriciacampbell@example.net,Profile Analytics,4,The predictions were way off.,
131,Christopher Powell,garciadarren@example.com,Profile Analytics,4,The predictions were way off.,
132,Timothy Underwood,christina70@example.com,Prediction,4,The predictions were way off.,
133,Melissa Jackson,tiffany83@example.org,Profile Analytics,3,The results were surprising and insightful.,
134,Stephanie Miller,wagneraaron@example.net,Recommendation,4,Very user-friendly and effective.,
135,Jennifer Vasquez,mikelopez@example.com,Recommendation,1,"Amazing predictions, very accurate!",
136,Emily Lee,robertlopez@example.com,Profile Analytics,2,I'm not very satisfied with this.,
137,Brandon Ward,sarahortiz@example.com,Profile Analytics,1,I'm impressed with the accuracy.,
138,Miguel Wright,jessicasharp@example.com,Prediction,2,The user interface could be better.,
139,Heather Larson,timothylee@example.com,Recommendation,1,The predictions were way off.,
140,Katherine Reid,ysmith@example.com,Profile Analytics,3,"Average service, nothing special.",
141,Paula Hernandez,gwheeler@example.com,Prediction,2,"This is terrible, very disappointed.",
142,Dustin Nelson,kevinwalker@example.org,Recommendation,1,"Could be better, wasn't very helpful.",
143,Shannon Craig,ebenson@example.net,Recommendation,2,Highly recommended!,
144,Terri Alvarado,breanna49@example.org,Prediction,4,I expected more from this service.,
145,Julie Nguyen,kmoore@example.org,Recommendation,1,The user interface could be better.,
146,Kaitlin Harrison,tjohnson@example.net,Profile Analytics,3,"It's okay, not bad.",
